"ID" "CustomerID" "ReceivedAt" "DeviceReportedTime" "Facility" "Priority" "FromHost" "Message" "NTSeverity" "Importance" "EventSource" "EventUser" "EventCategory" "EventID" "EventBinaryData" "MaxAvailable" "CurrUsage" "MinUsage" "MaxUsage" "InfoUnitID" "SysLogTag" "EventLogType" "GenericFileName" "SystemID" "processid" "checksum"
"33" 49841380 NA "2015-12-09 00:00:22" "2015-12-09 00:00:10" 20 4 "sc036" " 00:00:10.965 6976 AUDIT nova.compute.resource_tracker [-] Auditing locally available compute resources" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"34" 49841381 NA "2015-12-09 00:00:22" "2015-12-09 00:00:11" 20 4 "sc036" " 00:00:11.309 6976 AUDIT nova.compute.resource_tracker [-] Free ram (MB): -1172" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"35" 49841382 NA "2015-12-09 00:00:22" "2015-12-09 00:00:11" 20 4 "sc036" " 00:00:11.310 6976 AUDIT nova.compute.resource_tracker [-] Free disk (GB): 700" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"36" 49841383 NA "2015-12-09 00:00:22" "2015-12-09 00:00:11" 20 4 "sc036" " 00:00:11.310 6976 AUDIT nova.compute.resource_tracker [-] Free VCPUS: -8" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"37" 49841387 NA "2015-12-09 00:00:26" "2015-12-09 00:00:21" 20 4 "ucs03" " 00:00:21.002 29861 AUDIT nova.compute.resource_tracker [-] Auditing locally available compute resources" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"38" 49841388 NA "2015-12-09 00:00:26" "2015-12-09 00:00:21" 20 4 "ucs03" " 00:00:21.375 29861 AUDIT nova.compute.resource_tracker [-] Free ram (MB): 15692" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"39" 49841389 NA "2015-12-09 00:00:26" "2015-12-09 00:00:21" 20 4 "ucs03" " 00:00:21.376 29861 AUDIT nova.compute.resource_tracker [-] Free disk (GB): 93" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"40" 49841390 NA "2015-12-09 00:00:26" "2015-12-09 00:00:21" 20 4 "ucs03" " 00:00:21.376 29861 AUDIT nova.compute.resource_tracker [-] Free VCPUS: -12" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"41" 49841399 NA "2015-12-09 00:00:29" "2015-12-09 00:00:48" 20 4 "KR-07" " 00:00:48.273 2284 AUDIT nova.compute.resource_tracker [-] Auditing locally available compute resources" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
"42" 49841400 NA "2015-12-09 00:00:29" "2015-12-09 00:00:49" 20 4 "KR-07" " 00:00:49.041 2284 AUDIT nova.compute.resource_tracker [-] Free ram (MB): 112510" NA NA NA NA NA NA NA NA NA NA NA 1 "2015-12-09" NA NA NA "" 0
